StudentID,Grade,Subject,Marks
22,1,Math,69
22,1,Science,64
22,1,English,95
22,1,History,93
22,2,Math,90
22,2,Science,69
22,2,English,78
22,2,History,91
22,3,Math,60
22,3,Science,64
22,3,English,63
22,3,History,75
22,4,Math,83
22,4,Science,75
22,4,English,61
22,4,History,87
22,5,Math,91
22,5,Science,86
22,5,English,79
22,5,History,83
23,1,Math,71
23,1,Science,94
23,1,English,92
23,1,History,92
23,2,Math,96
23,2,Science,71
23,2,English,62
23,2,History,60
23,3,Math,92
23,3,Science,99
23,3,English,69
23,3,History,88
23,4,Math,72
23,4,Science,71
23,4,English,90
23,4,History,61
23,5,Math,94
23,5,Science,82
23,5,English,76
23,5,History,85
24,1,Math,67
24,1,Science,88
24,1,English,85
24,1,History,69
24,2,Math,85
24,2,Science,93
24,2,English,100
24,2,History,66
24,3,Math,63
24,3,Science,70
24,3,English,88
24,3,History,95
24,4,Math,84
24,4,Science,80
24,4,English,95
24,4,History,69
24,5,Math,96
24,5,Science,68
24,5,English,83
24,5,History,94
25,1,Math,94
25,1,Science,95
25,1,English,77
25,1,History,98
25,2,Math,91
25,2,Science,83
25,2,English,82
25,2,History,91
25,3,Math,96
25,3,Science,71
25,3,English,72
25,3,History,82
25,4,Math,84
25,4,Science,94
25,4,English,100
25,4,History,89
25,5,Math,76
25,5,Science,79
25,5,English,84
25,5,History,81
26,1,Math,72
26,1,Science,78
26,1,English,95
26,1,History,71
26,2,Math,100
26,2,Science,78
26,2,English,71
26,2,History,68
26,3,Math,66
26,3,Science,87
26,3,English,73
26,3,History,90
26,4,Math,78
26,4,Science,75
26,4,English,64
26,4,History,94
26,5,Math,71
26,5,Science,84
26,5,English,80
26,5,History,95
27,1,Math,82
27,1,Science,75
27,1,English,98
27,1,History,98
27,2,Math,73
27,2,Science,90
27,2,English,64
27,2,History,94
27,3,Math,82
27,3,Science,88
27,3,English,70
27,3,History,77
27,4,Math,71
27,4,Science,68
27,4,English,69
27,4,History,76
27,5,Math,97
27,5,Science,66
27,5,English,72
27,5,History,99
28,1,Math,68
28,1,Science,86
28,1,English,61
28,1,History,64
28,2,Math,88
28,2,Science,96
28,2,English,97
28,2,History,78
28,3,Math,67
28,3,Science,60
28,3,English,81
28,3,History,76
28,4,Math,66
28,4,Science,84
28,4,English,63
28,4,History,95
28,5,Math,65
28,5,Science,90
28,5,English,78
28,5,History,98
29,1,Math,86
29,1,Science,69
29,1,English,85
29,1,History,78
29,2,Math,98
29,2,Science,62
29,2,English,72
29,2,History,87
29,3,Math,79
29,3,Science,87
29,3,English,67
29,3,History,100
29,4,Math,98
29,4,Science,60
29,4,English,62
29,4,History,72
29,5,Math,87
29,5,Science,84
29,5,English,92
29,5,History,97
30,1,Math,65
30,1,Science,91
30,1,English,80
30,1,History,75
30,2,Math,80
30,2,Science,70
30,2,English,96
30,2,History,95
30,3,Math,94
30,3,Science,78
30,3,English,79
30,3,History,77
30,4,Math,100
30,4,Science,73
30,4,English,74
30,4,History,90
30,5,Math,60
30,5,Science,62
30,5,English,75
30,5,History,82
